Date,Clicks,Impressions,CTR,Position
2026-01-11,0,0,,
2026-01-12,0,131,0%,28.5
2026-01-13,3,529,0.57%,30
2026-01-14,3,744,0.4%,35.7
2026-01-15,5,661,0.76%,31.8
2026-01-16,1,812,0.12%,42.3
2026-01-17,1,507,0.2%,54.6
2026-01-18,1,338,0.3%,69.3
2026-01-19,0,422,0%,68.1
2026-01-20,4,552,0.72%,65.2
2026-01-21,0,816,0%,62.2
2026-01-22,1,1070,0.09%,65.2
2026-01-23,2,1468,0.14%,59.3
2026-01-24,0,4457,0%,56
2026-01-25,3,4913,0.06%,60.4
2026-01-26,1,4115,0.02%,58.3
2026-01-27,7,4521,0.15%,59.3
2026-01-28,4,4123,0.1%,59.2
2026-01-29,2,4342,0.05%,57
2026-01-30,3,4527,0.07%,55.6
2026-01-31,3,4292,0.07%,56.6
2026-02-01,2,5392,0.04%,57.1
2026-02-02,3,5365,0.06%,59.1
2026-02-03,3,6519,0.05%,60
2026-02-04,2,6429,0.03%,59.1
2026-02-05,2,4810,0.04%,59.9
2026-02-06,0,2988,0%,57.9
2026-02-07,0,2600,0%,56.3
2026-02-08,0,3005,0%,58.8
2026-02-09,1,2296,0.04%,55.5
2026-02-10,1,3916,0.03%,57.5
2026-02-11,0,3668,0%,57.2
2026-02-12,1,3186,0.03%,58.4
2026-02-13,1,3313,0.03%,59.8
2026-02-14,0,2794,0%,57
2026-02-15,1,3217,0.03%,58.5
2026-02-16,1,3490,0.03%,59.3
2026-02-17,0,4030,0%,55.4
2026-02-18,2,4024,0.05%,50.8
2026-02-19,0,3459,0%,57.4
2026-02-20,0,4388,0%,56
2026-02-21,0,4212,0%,56.3
